1|2|Dobri restorani u Beogradu|10|31-May-24 1:01:50 PM|Open
2|3|Dobri smestaji|1|31-May-24 1:01:50 PM|Closed
3|3|Najbrzi prevoznik Beograd|1|31-May-24 1:01:50 PM|Closed
4|2|Trevi fontana|14|31-May-24 1:01:50 PM|Open
5|2|Dobra pasta u Sloveniji|15|31-May-24 1:01:50 PM|Open
6|3|Frikom sladoledi|16|31-May-24 1:01:50 PM|Open
7|3|Najbolja lepinja Zlatibor|17|31-May-24 1:01:50 PM|Open
8|2|Gde na letovanje|22|04-Jun-23 5:19:50 PM|Closed
9|2|Najbolji servis racunara|15|04-Jun-23 5:26:07 PM|Closed
10|3|Gde su najbolje zurke u Beogradu|10|31-May-24 1:01:50 PM|Open
